playerName,team,eligiblePositions
Brandon Bussi,CAR,G
Jet Greaves,CBJ,G
Elvis Merzlikins,CBJ,G
Dustin Wolf,CGY,G
Devin Cooley,CGY,G
Spencer Knight,CHI,G
Arvid Soderblom,CHI,G
Scott Wedgewood,COL,G
MacKenzie Blackwood,COL,G
Jake Oettinger,DAL,G
Casey DeSmith,DAL,G
John Gibson,DET,G
Daniil Tarasov (G),DET,G
Frederik Andersen,EDM,G
Tristan Jarry,EDM,G
Jacob Markstrom,FLA,G
Akira Schmid,FLA,G
Anton Forsberg,L.A,G
Darcy Kuemper,L.A,G
Jesper Wallstedt,MIN,G
Filip Gustavsson,MIN,G
Jakub Dobes,MTL,G
Jacob Fowler,MTL,G
Jake Allen,N.J,G
Nico Daws,N.J,G
Juuse Saros,NSH,G
Justus Annunen,NSH,G
Ilya Sorokin,NYI,G
Vitek Vanecek,NYI,G
Igor Shesterkin,NYR,G
Joonas Korpisalo,NYR,G
Linus Ullmark,OTT,G
Samuel Ersson,OTT,G
Dan Vladar,PHI,G
Joseph Woll,PHI,G
Arturs Silovs,PIT,G
Sergei Murashov,PIT,G
Yaroslav Askarov,S.J,G
Alex Nedeljkovic,S.J,G
Joey Daccord,SEA,G
Philipp Grubauer,SEA,G
Joel Hofer,STL,G
Jordan Binnington,STL,G
Andrei Vasilevskiy,T.B,G
Dennis Hildeby,T.B,G
Sergei Bobrovsky,TOR,G
Anthony Stolarz,TOR,G
Karel Vejmelka,UTA,G
Sebastian Cossa,UTA,G
Thatcher Demko,VAN,G
Kevin Lankinen,VAN,G
Carter Hart,VGK,G
Adin Hill,VGK,G
Connor Hellebuyck,WPG,G
Stuart Skinner,WPG,G
Logan Thompson,WSH,G
Charlie Lindgren,WSH,G
